,video_uid,qid,question,task,relevant_timestamps,mcq_test,answer_1,answer_2,answer_3,answer_4,answer_5,duration_in_seconds,scenarios,video_source,device
0,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_15_1,How can you get to the storage room from the living room? ,navigation/room_to_room_image,N/A,"A. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/D.png
B. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/B.png
C. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/E.png
D. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/C.png
E. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/A.png",navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/D.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/B.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/E.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/C.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/A.png,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
1,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_22_34,Identify the actions taken by the camera wearer that involved the use of technology.,summarization/key_events_objects,N/A,"A. The camera wearer engaged with technology by using a mobile phone, adjusting a cooker, and operating a smart home system during various activities.
B. The camera wearer engaged with technology by using a mobile phone and watching television during various activities.
C. The camera wearer engaged with technology by using a mobile phone, adjusting a cooker, and programming a robotic vacuum during various activities.
D. The camera wearer engaged with technology by using a mobile phone, watching television, and adjusting a cooker during various activities.
E. The camera wearer engaged with technology by using a tablet, watching a computer monitor, and adjusting a microwave during various activities.","The camera wearer engaged with technology by using a mobile phone, adjusting a cooker, and operating a smart home system during various activities.",The camera wearer engaged with technology by using a mobile phone and watching television during various activities.,"The camera wearer engaged with technology by using a mobile phone, adjusting a cooker, and programming a robotic vacuum during various activities.","The camera wearer engaged with technology by using a mobile phone, watching television, and adjusting a cooker during various activities.","The camera wearer engaged with technology by using a tablet, watching a computer monitor, and adjusting a microwave during various activities.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
2,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_3_35,What is the most likely activity the camera wearer will do next after finishing cleaning and storing various kitchen items?,reasoning/predictive,00:46:30,"A. The camera wearer will likely go outside to the front yard to tend to the plants, uprooting unwanted plants and installing a new sprinkler system.
B. The camera wearer will likely go outside to the back yard to compost leftover food.
C. The camera wearer will likely go outside to the back yard to dispose waste.
D. The camera wearer will likely go outside to the front yard to plant new seeds and remove dead leaves from the plants.
E. The camera wearer will likely go outside to the back yard to tend to the plants, uprooting and disposing of unwanted plants.","The camera wearer will likely go outside to the front yard to tend to the plants, uprooting unwanted plants and installing a new sprinkler system.",The camera wearer will likely go outside to the back yard to compost leftover food.,The camera wearer will likely go outside to the back yard to dispose waste.,The camera wearer will likely go outside to the front yard to plant new seeds and remove dead leaves from the plants.,"The camera wearer will likely go outside to the back yard to tend to the plants, uprooting and disposing of unwanted plants.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
3,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_14_5,How can you retrieve the multi-colored tent from the bathroom? ,navigation/object_retrieval,N/A,"A. Exit the bathroom, turn right, and walk forward to the staircase. The tent is at the base of the stairs.  
B. Exit the bathroom, turn left, and walk towards the storage room. Turn right into the kitchen, and the tent is on the floor in front of the oven door. 
C. Exit the bathroom and go through the door on the right. Turn right, walk forward, and take the second entrance on the left into the living room. The tent is on the floor next to the couch. 
D. Exit the bathroom and go through the door on the right. Walk forward into the kitchen, and the ball is on the tent in front of the oven door. 
E. Exit the bathroom and go through the door on the right. Turn right and walk forward to the staircase. The tent is at the base of the stairs.","Exit the bathroom, turn right, and walk forward to the staircase. The tent is at the base of the stairs.","Exit the bathroom, turn left, and walk towards the storage room. Turn right into the kitchen, and the tent is on the floor in front of the oven door.","Exit the bathroom and go through the door on the right. Turn right, walk forward, and take the second entrance on the left into the living room. The tent is on the floor next to the couch.","Exit the bathroom and go through the door on the right. Walk forward into the kitchen, and the ball is on the tent in front of the oven door.",Exit the bathroom and go through the door on the right. Turn right and walk forward to the staircase. The tent is at the base of the stairs.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
4,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_14_3,"If you are in the storage room, how can you retrieve the orange towel? ",navigation/object_retrieval,N/A,"A. Exit the storage room and turn left. Walk forward and through the bathroom door. The orange towel is hanging on the towel rack. 
B. Exit the storage room and walk forward to the staircase. Turn left into the living room and the orange towel is lying on the couch. 
C. Exit the storage room and turn left into the kitchen. The orange towel is hanging on the handle of the oven. 
D. Exit the storage room and turn left. Go through the first door on the left and walk forward into the kitchen. The orange towel is hanging on the handle of the oven. 
E. Exit the storage room and turn right. Go through the door, and then go through the door on the left into the bathroom. The orange towel is hanging on the towel rack.",Exit the storage room and turn left. Walk forward and through the bathroom door. The orange towel is hanging on the towel rack.,Exit the storage room and walk forward to the staircase. Turn left into the living room and the orange towel is lying on the couch.,Exit the storage room and turn left into the kitchen. The orange towel is hanging on the handle of the oven.,Exit the storage room and turn left. Go through the first door on the left and walk forward into the kitchen. The orange towel is hanging on the handle of the oven.,"Exit the storage room and turn right. Go through the door, and then go through the door on the left into the bathroom. The orange towel is hanging on the towel rack.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
5,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_16_3,"If you are in the storage room, how can you retrieve the orange towel? ",navigation/object_retrieval_image,N/A,"A. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/E.png
B. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/D.png
C. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/A.png
D. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/B.png
E. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/C.png",navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/E.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/D.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/A.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/B.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/2/C.png,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
6,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_6_8,"In the kitchen, which is closer to the fridge: the sink or the chopping board?",reasoning/spatial/proximity,N/A,"A. There is no chopping board.
B. The chopping board is closer to the fridge than the sink.
C. There is no sink.
D. The fridge is equidistant from both the sink and the chopping board.
E. The sink is closer to the fridge than the chopping board.",There is no chopping board.,The chopping board is closer to the fridge than the sink.,There is no sink.,The fridge is equidistant from both the sink and the chopping board.,The sink is closer to the fridge than the chopping board.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
7,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_19,Select the correct statement regarding time duration of different events in the video,reasoning/temporal/duration,N/A,"A. Preparing and cooking the meal took longer than cleaning up after the meal.
B. Eating the meal with the man and cleaning and storing kitchen items afterwards had equal time durations.
C. Managing personal items took longer than arranging books and stationery.
D. Cleaning up after the meal took longer than preparing and cooking the meal.
E. Tending to the plants outside and interacting with technology had the same duration..",Preparing and cooking the meal took longer than cleaning up after the meal.,Eating the meal with the man and cleaning and storing kitchen items afterwards had equal time durations.,Managing personal items took longer than arranging books and stationery.,Cleaning up after the meal took longer than preparing and cooking the meal.,Tending to the plants outside and interacting with technology had the same duration..,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
8,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_11_12,What event immediately follows the camera wearer placing a kettle on the kitchen counter?,perception/information_retrieval/sequence_recall,N/A,"A. Starts the kettle to boil water.
B. Returns to the fridge to get milk.
C. Pours the tea into the cup.
D. Sits down to joint the man for the meal.
E. Carries the cup to where the man is eating.",Starts the kettle to boil water.,Returns to the fridge to get milk.,Pours the tea into the cup.,Sits down to joint the man for the meal.,Carries the cup to where the man is eating.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
9,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_7,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,N/A,"A. The kettle is on the stove, which is part of the kitchen counter.
B. The frying pan is hung on a rack to the left of the sink.
C. The cabinet is situated to the right of the plastic box, next to the curtains.
D. The chopping board is kept in a drawer underneath the fridge.
E. The dining table is located in an alcove behind the television.","The kettle is on the stove, which is part of the kitchen counter.",The frying pan is hung on a rack to the left of the sink.,"The cabinet is situated to the right of the plastic box, next to the curtains.",The chopping board is kept in a drawer underneath the fridge.,The dining table is located in an alcove behind the television.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
10,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_10,Select the correct statement regarding time duration of different events in the video,reasoning/temporal/duration,N/A,"A. Breakfast activities with the man and organizing the kitchen had the same time duration.
B. Arranging books and stationery was completed in a shorter time than managing personal items.
C. Tending to the plants outside took longer than interacting with technology.
D. Interacting with technology took longer than tending to the plants outside.
E. Both activities of preparing and cooking the meal and cleaning up after the meal took the same amount of time.",Breakfast activities with the man and organizing the kitchen had the same time duration.,Arranging books and stationery was completed in a shorter time than managing personal items.,Tending to the plants outside took longer than interacting with technology.,Interacting with technology took longer than tending to the plants outside.,Both activities of preparing and cooking the meal and cleaning up after the meal took the same amount of time.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
11,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_6_38,"In the kitchen, which is nearer to the window shelf: the container or the plastic cup?",reasoning/spatial/proximity,N/A,"A. The plastic cup is nearer to the window shelf than the container.
B. There is no container.
C. The container is nearer to the window shelf than the plastic cup.
D. There is no plastic cup.
E. Both the container and the plastic cup are on the window shelf.",The plastic cup is nearer to the window shelf than the container.,There is no container.,The container is nearer to the window shelf than the plastic cup.,There is no plastic cup.,Both the container and the plastic cup are on the window shelf.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
12,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_1_2,Why does the camera wearer first handle the pink sandals?,reasoning/causal,N/A,"A. To transition from going outdoors to indoors
B. To wash the sandals with a hose
C. To transition from going from thom the staircase into her room
D. To deliver the sandals to the man after walking outside
E. To transition from going indoors to outdoors",To transition from going outdoors to indoors,To wash the sandals with a hose,To transition from going from thom the staircase into her room,To deliver the sandals to the man after walking outside,To transition from going indoors to outdoors,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
