Unnamed: 0,video_uid,qid,question,task,relevant_timestamps,mcq_test,answer_1,answer_2,answer_3,answer_4,answer_5,duration_in_seconds,scenarios,video_source,device
6,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_6_8,"In the kitchen, which is closer to the fridge: the sink or the chopping board?",reasoning/spatial/proximity,,"A. There is no chopping board.
B. The chopping board is closer to the fridge than the sink.
C. There is no sink.
D. The fridge is equidistant from both the sink and the chopping board.
E. The sink is closer to the fridge than the chopping board.",There is no chopping board.,The chopping board is closer to the fridge than the sink.,There is no sink.,The fridge is equidistant from both the sink and the chopping board.,The sink is closer to the fridge than the chopping board.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
9,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_7,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The kettle is on the stove, which is part of the kitchen counter.
B. The frying pan is hung on a rack to the left of the sink.
C. The cabinet is situated to the right of the plastic box, next to the curtains.
D. The chopping board is kept in a drawer underneath the fridge.
E. The dining table is located in an alcove behind the television.","The kettle is on the stove, which is part of the kitchen counter.",The frying pan is hung on a rack to the left of the sink.,"The cabinet is situated to the right of the plastic box, next to the curtains.",The chopping board is kept in a drawer underneath the fridge.,The dining table is located in an alcove behind the television.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
11,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_6_38,"In the kitchen, which is nearer to the window shelf: the container or the plastic cup?",reasoning/spatial/proximity,,"A. The plastic cup is nearer to the window shelf than the container.
B. There is no container.
C. The container is nearer to the window shelf than the plastic cup.
D. There is no plastic cup.
E. Both the container and the plastic cup are on the window shelf.",The plastic cup is nearer to the window shelf than the container.,There is no container.,The container is nearer to the window shelf than the plastic cup.,There is no plastic cup.,Both the container and the plastic cup are on the window shelf.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
13,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,Where is the kettle placed in relation to the kitchen counter?,reasoning/spatial/relationship,,"A. The kettle is placed on the table to the right of the kitchen counter.
B. The kettle is stored in a cupboard to the left of the kitchen counter.
C. The kettle is on a shelf directly above the kitchen counter.
D. The kettle is on the stove, which is part of the kitchen counter.
E. The kettle is placed on a rolling cart opposite the kitchen counter.",The kettle is placed on the table to the right of the kitchen counter.,The kettle is stored in a cupboard to the left of the kitchen counter.,The kettle is on a shelf directly above the kitchen counter.,"The kettle is on the stove, which is part of the kitchen counter.",The kettle is placed on a rolling cart opposite the kitchen counter.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
15,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_20,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The chopping board is mounted on the wall to the left of the fridge.
B. The dining table is set diagonally to the left of the television.
C. The frying pan is on a shelf directly above the sink.
D. The cabinet is recessed into the wall behind the plastic box.
E. The kettle is stored in a cupboard to the left of the kitchen counter.",The chopping board is mounted on the wall to the left of the fridge.,The dining table is set diagonally to the left of the television.,The frying pan is on a shelf directly above the sink.,The cabinet is recessed into the wall behind the plastic box.,The kettle is stored in a cupboard to the left of the kitchen counter.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
17,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_23,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The kettle is on a shelf directly above the kitchen counter.
B. The cabinet is positioned to the left of the plastic box, near the doorway.
C. The chopping board is hanging on a hook directly behind the fridge.
D. The frying pan is placed on a drying mat behind the sink.
E. The dining table is placed in the center of the room, facing the television.",The kettle is on a shelf directly above the kitchen counter.,"The cabinet is positioned to the left of the plastic box, near the doorway.",The chopping board is hanging on a hook directly behind the fridge.,The frying pan is placed on a drying mat behind the sink.,"The dining table is placed in the center of the room, facing the television.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
29,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_20_1,Which image correctly depicts the spatial layout explored by the camera wearer?,reasoning/spatial/layout,,"A. spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/E.png
B. spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/A.png
C. spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/C.png
D. spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/D.png
E. spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/B.png",spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/E.png,spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/A.png,spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/C.png,spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/D.png,spatial_layout_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/0/B.png,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
31,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_6_6,Select the correct statement about spatial proximity depicted in the video,reasoning/spatial/proximity,,"A. The dining table is positioned exactly midway between the television and the kitchen sink in the house.
B. Both the container and the plastic cup are on the window shelf in the kitchen.
C. The television is closer to the dining table than the kitchen sink.
D. The mobile phone is closer to the chair than the television in the living room.
E. The chopping board is closer to the fridge than the sink in the kitchen.",The dining table is positioned exactly midway between the television and the kitchen sink in the house.,Both the container and the plastic cup are on the window shelf in the kitchen.,The television is closer to the dining table than the kitchen sink.,The mobile phone is closer to the chair than the television in the living room.,The chopping board is closer to the fridge than the sink in the kitchen.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
40,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_21,Where is the chopping board located in relation to the fridge in the kitchen?,reasoning/spatial/relationship,,"A. The chopping board is mounted on the wall to the left of the fridge.
B. The chopping board is placed on a shelf to the right of the fridge.
C. The chopping board is hanging on a hook directly behind the fridge.
D. The chopping board is kept in a drawer underneath the fridge.
E. The chopping board is stored in the cabinet above the fridge.",The chopping board is mounted on the wall to the left of the fridge.,The chopping board is placed on a shelf to the right of the fridge.,The chopping board is hanging on a hook directly behind the fridge.,The chopping board is kept in a drawer underneath the fridge.,The chopping board is stored in the cabinet above the fridge.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
43,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_7_16,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The fridge is located directly above the cooker
B. The charger is located in a drawer under the laptop
C. The laptop is placed on a separate stand next to the table with the plate
D. The charger is located on the left side of the floor of the laptop
E. The plate drawer and tap are part of the same kitchen island",The fridge is located directly above the cooker,The charger is located in a drawer under the laptop,The laptop is placed on a separate stand next to the table with the plate,The charger is located on the left side of the floor of the laptop,The plate drawer and tap are part of the same kitchen island,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
